TITULO PRODUTO,LINK,PREÇO,PREÇO ANTERIOR,MARCA,VENDEDOR,MÉDIA AVALIAÇÕES,TOTAL AVALIAÇÕES,ENTREGA,ENTREGA FULL,OBJECT_ID
Cartucho Hp 951 Xl Ciano Cn046ab,https://www.mercadolivre.com.br/cartucho-hp-951-xl-ciano-cn046ab/up/MLBU3285747858#polycard_client=search-nordic&searchVariation=MLBU3285747858&wid=MLB5485401994&position=7&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 188,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB5485401994
Cartucho De Tinta Hp 664 Negro y 664 Tricolor 2 Unidades,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-negro-y-664-tricolor-2-unidades/p/MLB36783881#polycard_client=search-nordic&searchVariation=MLB36783881&wid=MLB3688322801&position=10&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 143,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36783881
Cartucho Hp 46 Color 16ml Cz638a Original,https://www.mercadolivre.com.br/cartucho-hp-46-color-16ml-cz638a-original/up/MLBU3325996009#polycard_client=search-nordic&searchVariation=MLBU3325996009&wid=MLB4140291547&position=11&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 108,50",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB4140291547
Cartucho De Tinta Hp Tricolor 667,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-tricolor-667/p/MLB36752162#polycard_client=search-nordic&searchVariation=MLB36752162&wid=MLB3929212729&position=6&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 70,92",R$ 78,N/A,N/A,N/A,N/A,N/A,Não,MLB36752162
Cartucho HP 3JA52AL 964 cor Amarelo 700 Páginas,https://www.mercadolivre.com.br/cartucho-hp-3ja52al-964-cor-amarelo-700-paginas/p/MLB22536173#polycard_client=search-nordic&searchVariation=MLB22536173&wid=MLB3713350859&position=4&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 162,20",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22536173
Cartucho De Tinta Hp 667 Kit Preto E Colorido,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-kit-preto-e-colorido/p/MLB38766141#polycard_client=search-nordic&searchVariation=MLB38766141&wid=MLB3870738903&position=24&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 167,97",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB38766141
Cartucho de Tinta HP 60B Preto Simples CC636WB 4ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-60b-preto-simples-cc636wb-4ml/p/MLB24125481#polycard_client=search-nordic&searchVariation=MLB24125481&wid=MLB4678626640&position=18&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 122,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB24125481
Kit Cartucho Hp 938 P/ 9110 9130 9730,https://www.mercadolivre.com.br/kit-cartucho-hp-938-p-9110-9130-9730/p/MLB41877220#polycard_client=search-nordic&searchVariation=MLB41877220&wid=MLB5120098024&position=20&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 883,50",R$ 950,N/A,N/A,N/A,N/A,N/A,Não,MLB41877220
Cartucho de tinta HP 954xl preto ciano magenta amarelo - 4 unidades,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-954xl-preto-ciano-magenta-amarelo-4-unidades/p/MLB37504594#polycard_client=search-nordic&searchVariation=MLB37504594&wid=MLB5306888202&position=32&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 1.305,R$ 1.403,N/A,N/A,N/A,N/A,N/A,Não,MLB37504594
Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774,https://produto.mercadolivre.com.br/MLB-2685036387-kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&wid=MLB2685036387&sid=search,"R$ 143,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB2685036387
"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&searchVariation=MLB36752265&wid=MLB3947461641&position=21&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 71,64",R$ 77,N/A,N/A,N/A,N/A,N/A,Não,MLB36752265
2 Cartuchos 664 Preto Black Impressora Hp Deskjet,https://www.mercadolivre.com.br/2-cartuchos-664-preto-black-impressora-hp-deskjet/p/MLB36779932#polycard_client=search-nordic&searchVariation=MLB36779932&wid=MLB4678624598&position=16&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 139,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36779932
Cartucho Hp 711 Magenta 29ml Cz131ab T120 T520 Wespetec,https://www.mercadolivre.com.br/cartucho-hp-711-magenta-29ml-cz131ab-t120-t520-wespetec/p/MLB24113440#polycard_client=search-nordic&searchVariation=MLB24113440&wid=MLB5046849900&position=19&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 279,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB24113440
Cartucho Tinta Hp 662 Colorido Advantage,https://www.mercadolivre.com.br/cartucho-tinta-hp-662-colorido-advantage/p/MLB37002235#polycard_client=search-nordic&searchVariation=MLB37002235&wid=MLB3947485753&position=15&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 68,62",R$ 77,N/A,N/A,N/A,N/A,N/A,Não,MLB37002235
Cartucho Tinta Hp 964 9020 9010 Preto 3ja53al,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9020-9010-preto-3ja53al/p/MLB22270168#polycard_client=search-nordic&searchVariation=MLB22270168&wid=MLB4706659634&position=42&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 219,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22270168
Cartucho Hp 3ed70a Nº712 Preto 38ml Hp,https://www.mercadolivre.com.br/cartucho-hp-3ed70a-n712-preto-38ml-hp/p/MLB22534666#polycard_client=search-nordic&searchVariation=MLB22534666&wid=MLB3725302053&position=23&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 259,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22534666
Cartucho de Tinta HP 122 Preto,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-preto/p/MLB24113444#polycard_client=search-nordic&searchVariation=MLB24113444&wid=MLB3894652803&position=31&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 87,91",R$ 109,N/A,N/A,N/A,N/A,N/A,Não,MLB24113444
Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB38358712#polycard_client=search-nordic&searchVariation=MLB38358712&wid=MLB5514815280&position=25&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 71,R$ 78,N/A,N/A,N/A,N/A,N/A,Não,MLB38358712
Cartucho De Tinta Hp Kit122 Cor Preto + Colorido,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-kit122-cor-preto-colorido/p/MLB36918384#polycard_client=search-nordic&searchVariation=MLB36918384&wid=MLB4766603384&position=34&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 209,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36918384
Cartucho De Tinta Hp 904xl Negro + 904xl Colores 4 Unidades,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-904xl-negro-904xl-colores-4-unidades/p/MLB37650729#polycard_client=search-nordic&searchVariation=MLB37650729&wid=MLB4775541978&position=27&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 839,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB37650729
Cartucho Hp 711 Cz129a Black - T120/ T520,https://www.mercadolivre.com.br/cartucho-hp-711-cz129a-black-t120-t520/p/MLB39273129#polycard_client=search-nordic&searchVariation=MLB39273129&wid=MLB3841613289&position=28&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 337,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB39273129
"Cartucho ciano HP 964, 700 páginas",https://www.mercadolivre.com.br/cartucho-ciano-hp-964-700-paginas/p/MLB22536169#polycard_client=search-nordic&searchVariation=MLB22536169&wid=MLB3981760231&position=35&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 164,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22536169
Cartucho Tinta Hp T120 711 Cz132b Amarelo 29ml,https://www.mercadolivre.com.br/cartucho-tinta-hp-t120-711-cz132b-amarelo-29ml/p/MLB24120710#polycard_client=search-nordic&searchVariation=MLB24120710&wid=MLB3841674201&position=22&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 279,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB24120710
Cartucho de tinta amarelo Hp 938,https://www.mercadolivre.com.br/cartucho-de-tinta-amarelo-hp-938/p/MLB42068834#polycard_client=search-nordic&searchVariation=MLB42068834&wid=MLB3915146751&position=33&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 220,83",R$ 259,N/A,N/A,N/A,N/A,N/A,Não,MLB42068834
Cartucho Tinta Hp 964 9010 9020 Magenta 3ja51al,https://www.mercadolivre.com.br/cartucho-tinta-hp-964-9010-9020-magenta-3ja51al/p/MLB23137032#polycard_client=search-nordic&searchVariation=MLB23137032&wid=MLB5085328996&position=38&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 162,20",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB23137032
Kit Cartuchos Hp 21 E 22 D1320 D1341 1445,https://www.mercadolivre.com.br/kit-cartuchos-hp-21-e-22-d1320-d1341-1445/p/MLB36929617#polycard_client=search-nordic&searchVariation=MLB36929617&wid=MLB5378749732&position=40&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 219,65",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36929617
Cartucho Hp 712 Ciano (pack C/3) 3ed77a Hp,https://www.mercadolivre.com.br/cartucho-hp-712-ciano-pack-c3-3ed77a-hp/p/MLB22546182#polycard_client=search-nordic&searchVariation=MLB22546182&wid=MLB3866464859&position=45&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 453,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22546182
Kit 4 Cartuchos Hp 711 Cz133a Cz130a Cz131a Cz132a,https://www.mercadolivre.com.br/kit-4-cartuchos-hp-711-cz133a-cz130a-cz131a-cz132a/p/MLB42069374#polycard_client=search-nordic&searchVariation=MLB42069374&wid=MLB5265617890&position=26&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 1.349,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB42069374
Cartucho De Tinta Hp 712 Amarelo Pluk 29ml 3ed69a Wespetec,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-712-amarelo-pluk-29ml-3ed69a-wespetec/p/MLB22304579#polycard_client=search-nordic&searchVariation=MLB22304579&wid=MLB4754923286&position=36&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 226,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22304579
Cartucho De Tinta Hp 711 Cor Azul Do 29 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-711-cor-azul-do-29-ml/p/MLB36750247#polycard_client=search-nordic&searchVariation=MLB36750247&wid=MLB5046810994&position=39&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 279,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36750247
Cartucho De Tinta 712 Ciano Hp T210 T250 T650,https://www.mercadolivre.com.br/cartucho-de-tinta-712-ciano-hp-t210-t250-t650/p/MLB22559081#polycard_client=search-nordic&searchVariation=MLB22559081&wid=MLB3707081591&position=46&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 226,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22559081
Kit Cartucho De Tinta Hp 122 Preto + Colorido,https://www.mercadolivre.com.br/kit-cartucho-de-tinta-hp-122-preto-colorido/p/MLB42247285#polycard_client=search-nordic&searchVariation=MLB42247285&wid=MLB4131255505&position=29&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 214,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB42247285
Cartucho Hp (904xl)t6m16ab Preto Rend.825pgs,https://www.mercadolivre.com.br/cartucho-hp-904xlt6m16ab-preto-rend825pgs/p/MLB24113446#polycard_client=search-nordic&searchVariation=MLB24113446&wid=MLB5087198512&position=37&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 334,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB24113446
Cartucho Hp 82 C4911a Ciano,https://www.mercadolivre.com.br/cartucho-hp-82-c4911a-ciano/up/MLBU3299730324#polycard_client=search-nordic&searchVariation=MLBU3299730324&wid=MLB4126776387&position=30&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 130,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB4126776387
Cartucho De Tinta Hp Cartucho De Tinta Cor Preto Do 3 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-cartucho-de-tinta-cor-preto-do-3-ml/p/MLB36772709#polycard_client=search-nordic&searchVariation=MLB36772709&wid=MLB4026166687&position=47&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 166,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36772709
Cartucho De Tinta Hp 934 Xl Cor Preto Do 25.5 Ml,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-934-xl-cor-preto-do-255-ml/p/MLB36750377#polycard_client=search-nordic&searchVariation=MLB36750377&wid=MLB4134055495&position=48&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 352,80",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36750377
Kit 4 Cartuchos De Tinta 670 Hp 4615 4625 5525,https://www.mercadolivre.com.br/kit-4-cartuchos-de-tinta-670-hp-4615-4625-5525/p/MLB38553181#polycard_client=search-nordic&searchVariation=MLB38553181&wid=MLB5039713690&position=43&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 323,90",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB38553181
Kit 3 Cartuchos De Tinta Color 954 Hp 7720 8210 8720 8730,https://www.mercadolivre.com.br/kit-3-cartuchos-de-tinta-color-954-hp-7720-8210-8720-8730/p/MLB36751467#polycard_client=search-nordic&searchVariation=MLB36751467&wid=MLB4669793020&position=49&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,"R$ 509,89",N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB36751467
Cartucho Hp 3ed68a Nº 712 Magenta 29ml Hp,https://www.mercadolivre.com.br/cartucho-hp-3ed68a-n-712-magenta-29ml-hp/p/MLB22536185#polycard_client=search-nordic&searchVariation=MLB22536185&wid=MLB4716365112&position=41&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 226,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB22536185
Cartucho de Plotter HP 711 CZ133AB Color Preto,https://www.mercadolivre.com.br/cartucho-de-plotter-hp-711-cz133ab-color-preto/p/MLB37152290#polycard_client=search-nordic&searchVariation=MLB37152290&wid=MLB3841700027&position=44&search_layout=grid&type=product&tracking_id=bc77b4d6-ab23-4148-884f-9374944ad9ae&sid=search,R$ 511,N/A,N/A,N/A,N/A,N/A,N/A,Não,MLB37152290
