titulo,marca,modelo,preco,cor,qualidade_descricao,quantidade_reviews,avaliacao,quantidade_fotos,seller_name,seller_reputation,listing_age_days,source_url
3 X Cartucho Toner Para Laserjet M102 M102a M102w Com Chip,Genérica,"Compatível para uso em HP Laserjet M102, M102a, M102w, Cf217a.",180.5,Black,"Novo, Lacrado e Pronto para o uso.",4,4.5,25,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1517960668-3-x-cartucho-toner-para-laserjet-m102-m102a-m102w-com-chip-_JM?searchVariation=55489963459#polycard_client=search-nordic&searchVariation=55489963459&position=24&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Cartucho Yellow 711xl 711 Para Plotter T130 T530 711 30 Ml,Cartridge Inkjet,711,46.9,"Yellow, Amarelo","CARTUCHO AMARELO COMPATÍVEL 711XL (CZ132A) - 100 % NOVO, não danifica a impressora, maior resolução e definição, cores vivas, não causa entupimento.",2,4.5,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://www.mercadolivre.com.br/cartucho-yellow-711xl-711-para-plotter-t130-t530-711-30-ml/p/MLB38222892#polycard_client=search-nordic&searchVariation=MLB38222892&wid=MLB4902835236&position=15&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Toner P/ Laserjet M132nw M132snw M132fp M132fw M132fn C Chip,HP,Cf218a,56.01,Preto,"100% novo, na caixa lacrada, compatível com diversos modelos de impressoras HP.",15,4.8,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1533200492-toner-p-laserjet-m132nw-m132snw-m132fp-m132fw-m132fn-c-chip-_JM?searchVariation=56575224247#polycard_client=search-nordic&searchVariation=56575224247&position=25&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Cartucho Preto 954xl 954 Para Officejet 8720 8710 8702,Cartridge Inkjet,954XL,158.0,Preto,"Cartucho de tinta Compatível com 954 XL Black. Rendimento alto, não danifica sua impressora.",0,0.0,0,JFL SUPRIMENTOS,+500 vendas,0,https://www.mercadolivre.com.br/cartucho-preto-954xl-954-para-officejet-8720-8710-8702/p/MLB50832444#polycard_client=search-nordic&searchVariation=MLB50832444&wid=MLB5435672100&position=4&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
5 X Cartucho De Toner Para Laser 1010 1012 1015 1018 1020 Tinta Preto,Byqualy,BQ-2612A,250.0,Preto,"Compatível, rendimento igual ao toner da marca da impressora.",0,0.0,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://www.mercadolivre.com.br/5-x-cartucho-de-toner-para-laser-1010-1012-1015-1018-1020-tinta-preto/p/MLB50937272#polycard_client=search-nordic&searchVariation=MLB50937272&wid=MLB5418612222&position=9&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Tinta Para Hp Recarga Cartucho Preta 500ml 662 664 122 60 74,STK,Tanque,29.5,Preta,"Inclui tintas, seringas e luvas. É kit de fábrica.",10000,4.5,1,STK,MercadoLíder Platinum,30,https://www.mercadolivre.com.br/tinta-para-hp-recarga-cartucho-preta-500ml-662-664-122-60-74/p/MLB50335797#polycard_client=search-nordic&searchVariation=MLB50335797&wid=MLB4081904663&position=6&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Garrafa Hp M0h54al Cyan Gt52 415/615/519/520/580 8.000 unidades,HP,M0H54AL,66.9,Ciano,Original,10000,5.0,1,Mm Santos,MercadoLíder Platinum,30,https://www.mercadolivre.com.br/garrafa-hp-m0h54al-cyan-gt52-415615519520580-8000-unidades/p/MLB41931203#polycard_client=search-nordic&searchVariation=MLB41931203&wid=MLB3983107397&position=5&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
4 X Toner Para M132nw M132snw M132fp M132fw M132fn C Chip,HP,M132,198.0,Preto,"100% novo, na caixa lacrada, pronto para uso.",14,4.9,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1533240040-4-x-toner-para-m132nw-m132snw-m132fp-m132fw-m132fn-c-chip-_JM?searchVariation=56578512009#polycard_client=search-nordic&searchVariation=56578512009&position=26&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Cartucho De Toner Para Laserjet Pro 400 M401dn 6.900 Páginas Tinta Preto,Byqualy,BQ Series 500X,105.31,Preto,Compatível,5000,4.5,1,GT CARTRIDGE INKJET,MercadoLíder Gold,30,https://www.mercadolivre.com.br/cartucho-de-toner-para-laserjet-pro-400-m401dn-6900-paginas-tinta-preto/p/MLB50465907#polycard_client=search-nordic&searchVariation=MLB50465907&wid=MLB4074756841&position=20&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
"Placa Do Carro De Impressão Hp C/ Flat Gt5822, 410, 412, 416",HP,"Placa do carro de impressão para impressora hp Gt5810, Gt5820, Gt5822, 116, 310, 311, 316, 318, 319, 400, 410, 411, 415, 416, 418, 419",170.9,Não especificado,"Head drive (circuito de reconhecimento das cabeças de impressão), em perfeito funcionamento.",106,4.6,0,achoucomprouecommerce,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1792769609-placa-do-carro-de-impresso-hp-c-flat-gt5822-410-412-416-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&wid=MLB1792769609&sid=search
4x Toner Para Laserjet Pro Mfp M428fdw M428 428fdw M 428 Fdw,Genérica,"Compatível para Hp LaserJet Pro MFP M428FDW, M428, M 428, 428, 428FDW, 428 FDW, M 428 FDW, M428 FDW, M 428FDW.",355.5,Preto,"100% NOVO, SEM CHIP, Rendimento: até 3.000 impressões com 5% de preenchimento no papel A4.",9,4.6,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1774913987-4x-toner-para-laserjet-pro-mfp-m428fdw-m428-428fdw-m-428-fdw-_JM?searchVariation=73868090924#polycard_client=search-nordic&searchVariation=73868090924&position=28&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Cartucho Yellow 933xl 933 Xl Para 7610 7612 7110 7510 7100a,Cartridge Inkjet,933 XL,49.9,Amarelo,Produto com altíssima qualidade de impressão que não danificará seu equipamento e conta com equipe de técnicos qualificados para suporte.,0,0.0,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://www.mercadolivre.com.br/cartucho-yellow-933xl-933-xl-para-7610-7612-7110-7510-7100a/p/MLB50398560#polycard_client=search-nordic&searchVariation=MLB50398560&wid=MLB5402845900&position=7&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
Cabeça Hp Ink Tank 5820 5822 Gt5810 430 416 M0h50a M0h51a,HP,M0H51A,379.99,Preto,Produto Original HP!!!!,181,4.8,5,Unção & Sedução,MercadoLíder,0,https://produto.mercadolivre.com.br/MLB-2015615240-cabeca-hp-ink-tank-5820-5822-gt5810-430-416-m0h50a-m0h51a-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&wid=MLB2015615240&sid=search
Kit 4x Cartucho Toner M451dw M451 M 451dw M451 Dw M 451 Dw,Genérica,"Compatível com HP Color LaserJet Pro 400 M451dw, M451, M 451, M451 dw, M 451dw, M 451 dw.",369.9,Black/Cyan/Yellow/Magenta,"Novo, Lacrado e Pronto para o uso.",10,4.5,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1615601879-kit-4x-cartucho-toner-m451dw-m451-m-451dw-m451-dw-m-451-dw-_JM?searchVariation=61178488867#polycard_client=search-nordic&searchVariation=61178488867&position=30&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Kit Toner 126a 126 Para M175 M175a M175nw 175 Cp1025wn,Monocron,"Compatível para uso em HP LaserJet M175, M175a, M175nw, 175, Cp1025wn",208.9,Preto/Ciano/Magenta/Amarelo,"Novo, Lacrado e Pronto para o uso.",7,4.6,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1534525611-kit-toner-126a-126-para-m175-m175a-m175nw-175-cp1025wn-_JM?searchVariation=56680643283#polycard_client=search-nordic&searchVariation=56680643283&position=31&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
2 X Cartucho De Toner Para M426fdw M426dw M426fdn M426 M 426,Genérica,Compatível para uso em HP M426fdw M426 fdw M 426fdw M 426 fdw M426DW M 426DW M426 DW M 426 DW M426FDN M 426FDN M426 FDN M 426,184.2,Preto,"Novo, Lacrado e Pronto para o uso.",7,4.9,5,GT CARTRIDGE INKJET,MercadoLíder Gold,30,https://produto.mercadolivre.com.br/MLB-1567075387-2-x-cartucho-de-toner-para-m426fdw-m426dw-m426fdn-m426-m-426-_JM?searchVariation=58488329800#polycard_client=search-nordic&searchVariation=58488329800&position=32&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Kit Cabeça Ink Tank 5820 5822 430 416 M0h50a M0h51a Flex,HP,gt5822,399.9,Preto e Color,Produto original HP novo de primeiro uso,20,4.9,0,gose,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-2737056201-kit-cabeca-ink-tank-5820-5822-430-416-m0h50a-m0h51a-flex-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&wid=MLB2737056201&sid=search
Cartucho Toner Para Laserjet Pro 400 M425dn 6.900 Páginas,Genérica,"Compatível com HP LaserJet Pro MFP 400 M425DN, M425, M 425, M 425 DN, 425",110.21,Preto,"Novo, Lacrado e Pronto para o uso.",3,4.7,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-1518026762-cartucho-toner-para-laserjet-pro-400-m425dn-6900-paginas-_JM?searchVariation=55494624460#polycard_client=search-nordic&searchVariation=55494624460&position=34&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
4x Cartucho Toner Para Color Laserjet Pro Mfp M182nw M182,Genérica,"Toner compatível com HP Color LaserJet Pro MFP M182NW, M182, 182.",379.9,Multicolorido,"kit com 4(quatro) cartuchos de toners, sem chip, são compatíveis com HP Color LaserJet Pro MFP M182NW, M182, 182, 100% novo e lacrado de fabrica, foi desenvolvido com a mais alta tecnologia ideal para quem busca qualidade e economia na hora de imprimir.",1,5.0,0,GT CARTRIDGE INKJET,MercadoLíder Gold,0,https://produto.mercadolivre.com.br/MLB-5367487256-4x-cartucho-toner-para-color-laserjet-pro-mfp-m182nw-m182-_JM?searchVariation=183472581426#polycard_client=search-nordic&searchVariation=183472581426&position=35&search_layout=grid&type=item&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac
Toner Laser M130 M130a M130fn M130fw M130nw Com Chip Tambor Tinta Preto,Byqualy,BQ-CF217A,162.4,Preto,"Produto completo, pronto para uso. Lacrado e Pronto para o uso. Pode ser feito a remanufatura após utilização.",5000,4.5,5,GT CARTRIDGE INKJET,MercadoLíder Gold,30,https://www.mercadolivre.com.br/toner-laser-m130-m130a-m130fn-m130fw-m130nw-com-chip-tambor-tinta-preto/p/MLB50833177#polycard_client=search-nordic&searchVariation=MLB50833177&wid=MLB5413778692&position=11&search_layout=grid&type=product&tracking_id=0ea8e153-c77d-4591-beba-cfb91762acac&sid=search
